id;is_closed;sex;country_id;country_title;bdate;city_id;city_title;universities_chair;universities_chair_name;universities_city;universities_country;universities_education_form;universities_education_status;universities_faculty;universities_faculty_name;universities_id;universities_name;schools_city;schools_country;schools_id;schools_name
35213;False;1;1;Россия;1.3.1989;185;Севастополь;;;;;;;;;;;;;;
41445;False;2;1;Россия;9.5;185;Севастополь;;;;;;;;;;;;;;
44483;False;2;1;Россия;17.4.1989;2;Санкт-Петербург;1767809; Кафедра технологии редких элементов и наноматериалов на их основе;2;1;Очное отделение;Выпускник (специалист);799506;Инженерно-технологический факультет (бывш. Наукоемких технологий);57;СПбГТИ (ТУ);2;1;25;Школа №564
45024;False;2;1;Россия;;1;Москва;;;;;;;;;;;;;;
45248;False;1;1;Россия;29.11;2;Санкт-Петербург;;;;;;;;;;;;;;
49051;True;1;1;Россия;15.11;185;Севастополь;;;;;;;;;;;;;;
88742;True;2;1;Россия;;1;Москва;;;;;;;;;;;;;;
91754;True;1;1;Россия;8.2;;;;;;;;;;;;;;;;
99335;False;1;1;Россия;22.2;133;Сочи;;;133, 133, 72, 133, 133, 133, 133, 72, 72, 72;1, 1, 1, 1, 1, 1, 1, 1, 1, 1;;;;;574, 3024, 572, 1914, 815, 3603, 5726, 566, 567, 568;"КубГУ, Филиал РГСУ, КубГМУ, СИ РУДН, СГУ (бывш. СГУТиКД), МИУ (бывш. ЧГА), СИМБиП, ИМБ
 , КГИК (бывш. КГУКИ), КММИВСО
 ";72, 72, 133, 133, 133, 133, 133;1, 1, 1, 1, 1, 1, 1;2214, 111308, 485591, 150588, 212558, 197611, 171017;Школа № 1, Лицей № 1, Гимназия № 1, Детская художественная школа № 1, Школа № 2, Школа № 3, Школа № 4
99784;False;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
107791;True;1;1;Россия;18.4.1985;2;Санкт-Петербург;;;;;;;;;;;;;;
139825;False;2;;;14.12.1987;;;;;;;;;;;;;;;;
140220;True;2;1;Россия;;1;Москва;;;;;;;;;;;;;;
169911;False;1;1;Россия;24.2;185;Севастополь;;;;;;;;;;;;;;
170750;False;1;1;Россия;;2;Санкт-Петербург;;;;;;;;;;;;;;
174870;False;2;1;Россия;13.2;185;Севастополь;8779, 2065756, 2065756; Кафедра экономики спорта и финансов, Теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры, Теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры;185, 2, 2;1, 1, 1;Очное отделение, Очное отделение;Выпускник (специалист), Аспирант, Кандидат наук;124, 2053144, 2053144;Факультет экономики, управления и права (Институт экономики и социальных технологий), Факультет подготовки научно-педагогических работников, Факультет подготовки научно-педагогических работников;38, 38, 38;НГУ им. Лесгафта (бывш. СПбГУФК), НГУ им. П. Ф. Лесгафта (бывш. СПбГУФК), НГУ им. П. Ф. Лесгафта (бывш. СПбГУФК);2, 2;1, 1;449, 3851;Школа №306, Школа №253
185463;True;2;;;8.6.1987;;;;;;;;;;;;;;;;
194144;False;2;1;Россия;;2;Санкт-Петербург;1690;Связи с общественностью;2;1;Очное отделение;Выпускник (специалист);327;Гуманитарный факультет;68;СПбГЭТУ (ЛЭТИ);2;1;15040;Лицей №384
215894;False;2;1;Россия;24.3;185;Севастополь;;;;;;;;;;;;;;
234521;True;2;1;Россия;1.4;1;Москва;;;;;;;;;;;;;;
235793;;2;;;;;;;;;;;;;;;;;;;
238535;True;1;;;;;;;;;;;;;;;;;;;
249853;False;2;1;Россия;22.8.1985;185;Севастополь;;;;;;;;;;;;;;
252096;False;2;1;Россия;5.9.1990;185;Севастополь;;;;;;;;;;;;;;
265262;True;1;1;Россия;2.1;185;Севастополь;;;;;;;;;;;;;;
275756;False;2;1;Россия;;2;Санкт-Петербург;64552;Общей экологии, анатомии и физиологии растений ;2;1;Очное отделение;;132;Институт леса и природопользования (бывш. Лесохозяйственный);40;СПбГЛТА им. Кирова;2, 2;1, 1;18260, 509;Школа №457, Школа №48
291804;False;1;1;Россия;26.9;1;Москва;;;;;;;;;;;;;;
306722;False;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
313001;;2;;;;;;;;;;;;;;;;;;;
324686;True;2;1;Россия;11.4;185;Севастополь;;;;;;;;;;;;;;
325962;False;1;1;Россия;;;;;;;;;;;;;;;;;
330446;False;1;1;Россия;7.7.1986;;;2065928;Психология;0;1;Очное отделение;Студентка (бакалавр);189;Факультет прикладной психологии;51;СПбГИПСР;;;;
367135;False;1;1;Россия;20.5;2;Санкт-Петербург;1892044;Теории и технологии социальной работы;2;1;Очное отделение;Выпускница (бакалавр);190;Факультет психолого-социальной работы;51;СПбГИПСР;2;1;9001;Школа искусств №2 Кировского района
368061;False;1;1;Россия;4.4;2;Санкт-Петербург;104629;Технологии бродильных производств и виноделия;2;1;Заочное отделение;Студентка (специалист);295;Факультет пищевых технологий;64;СПбГУНиПТ;2;1;3878;Школа №515
368412;True;2;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
371709;False;2;1;Россия;9.11.1987;87;Мурманск;1850005;Механики сплошных сред и морского нефтегазового дела;87;1;Очное отделение;Доктор наук;1624;Факультет арктических технологий (бывш. Политехнический институт);629;"МГТУ
 ";87;1;375084;№53
396775;False;1;1;Россия;19.5.1999;41;Вологда;;;;;;;;;;;;;;
412722;True;1;1;Россия;7.7;185;Севастополь;;;;;;;;;;;;;;
416673;False;2;;;17.2;;;;;;;;;;;;;;;;
417529;False;2;1;Россия;24.10;185;Севастополь;;;;;;;;;;;;;;
417611;False;1;1;Россия;9.5.1984;185;Севастополь;879201; Кафедра физики;185;1;Очное отделение;Выпускница (магистр);53239;Институт радиоэлектроники и информационной безопасности;1032;СевГУ;185;2;6195;Школа № 43
419187;False;2;2;Украина;30.7.1988;627;Симферополь;80137;Кибернетики и вычислительной техники (КиВТ);627;2;Очное отделение;Выпускник (специалист);2231791;Факультет автоматики и вычислительной техники;1032;СевНТУ (бывш. СГТУ, СПИ);818;2;265071;Кореизская общеобразовательная школа
540690;False;1;1;Россия;24.1.1989;185;Севастополь;;;;;;;;;;;;;;
543522;False;2;1;Россия;23.3.1987;1;Москва;2100336;Русской литературы;1;1;Очное отделение;;2231181;Филологический факультет;477;УрФУ;604, 604;1, 1;45669, 362960;Центр образования «Урал», Школа искусств
576999;False;2;2;Украина;23.5;185;Севастополь;;;;;;;;;;;;;;
594765;False;2;1;Россия;29.1.1989;185;Севастополь;2102864;Технической кибернетики (ТК);185;1;Очное отделение;Выпускник (магистр);2231791;Факультет автоматики и вычислительной техники;1032;СевНТУ (бывш. СГТУ, СПИ);185;2;21040;Гимназия № 1 им. А. С. Пушкина
597552;False;1;1;Россия;8.7;185;Севастополь;;;;;;;;;;;;;;
600421;True;1;2;Украина;24.5;185;Севастополь;;;;;;;;;;;;;;
603308;False;2;1;Россия;29.4;185;Севастополь;;;;;;;;;;;;;;
615487;False;2;2;Украина;8.3.1988;;;;;;;;;;;;;;;;
615896;False;1;1;Россия;5.10.1989;185;Севастополь;;;;;;;;;;;;;;
624520;False;2;1;Россия;7.5.1986;185;Севастополь;;;;;;;;;;;;;;
625211;False;2;1;Россия;14.11;185;Севастополь;;;;;;;;;;;;;;
649555;False;1;1;Россия;5.9;185;Севастополь;;;;;;;;;;;;;;
653660;True;2;1;Россия;16.7.1986;185;Севастополь;;;;;;;;;;;;;;
669413;False;1;1;Россия;5.4;818;Ялта;;;;;;;;;;;;;;
696962;False;1;1;Россия;21.8.1983;2;Санкт-Петербург;;;;;;;;;;;;;;
705941;False;2;1;Россия;21.10;185;Севастополь;;;;;;;;;;;;;;
712169;False;1;1;Россия;18.12;185;Севастополь;;;;;;;;;;;;;;
715202;False;1;2;Украина;14.3.1990;185;Севастополь;;;;;;;;;;;;;;
741657;True;2;2;Украина;;314;Киев;;;;;;;;;;;;;;
775849;False;1;1;Россия;7.10;185;Севастополь;;;;;;;;;;;;;;
779980;False;2;1;Россия;23.10;185;Севастополь;335, 2674, 335, 335, 151469;"Динамической геологии
 ,  Кафедра геофизических информационных систем, Кафедра динамической геологии, Кафедра динамической геологии, Кафедра образовательных технологий";185, 1, 1, 1, 1;1, 1, 1, 1, 1;Очное отделение, Очное отделение, Очное отделение, Очное отделение, Очно-заочное отделение;Аспирант, Студент (специалист), Выпускник (бакалавр), Выпускник (магистр), Студент (специалист);25, 1484, 25, 25, 141316;Геологический факультет, Факультет геологии и геофизики нефти и газа, Геологический факультет, Геологический факультет, Факультет педагогического образования;2, 334, 2, 2, 2;МГУ, РГУ нефти и газа (НИУ) им. И. М. Губкина, МГУ, МГУ, МГУ;44, 185;1, 1;645202, 237038;Школа № 2, Медицинский колледж им. Жени Дерюгиной
782334;False;1;2;Украина;;185;Севастополь;;;;;;;;;;;;;;
808949;True;2;1;Россия;26.9.1984;185;Севастополь;;;;;;;;;;;;;;
809688;False;1;1;Россия;3.1;185;Севастополь;;;;;;;;;;;;;;
827162;False;1;;;8.8;;;;;;;;;;;;;;;;
830563;True;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
872145;False;1;1;Россия;26.9.1997;1;Москва;1375343;Управления и экономики предпринимательства;1;1;Очное отделение;;1735172;Факультет экономики и управления;882;УГАЭС;403;1;185287;Нефтегазовый колледж им. В. А. Городилова (ННГК)
900708;False;2;1;Россия;8.2;185;Севастополь;;;;;;;;;;;;;;
918637;False;2;1;Россия;30.7;185;Севастополь;;;;;;;;;;;;;;
919848;False;1;2;Украина;;;;;;;;;;;;;;;;;
951436;False;1;1;Россия;12.11;72;Краснодар;916805;Социально-культурного сервиса и туризма;72;1;;Выпускница (специалист);15179;Факультет сервиса и туризма;570;КГУФКСТ (КГАФК);102;1;5007;Школа № 26
952600;False;2;2;Украина;11.7;185;Севастополь;;;;;;;;;;;;;;
977663;False;1;1;Россия;20.6.1988;2;Санкт-Петербург;;;;;;;;;;;;;;
1021448;True;2;;;;;;;;;;;;;;;;;;;
1023825;True;1;1;Россия;;42;Воронеж;;;;;;;;;;;;;;
1045960;True;1;1;Россия;;1;Москва;;;;;;;;;;;;;;
1047791;False;2;1;Россия;31.10.1980;185;Севастополь;;;;;;;;;;;;;;
1058861;False;2;;;28.10;;;;;;;;;;;;;;;;
1092144;False;1;65;Германия;6.6;;;;;;;;;;;;;;;;
1096043;False;1;1;Россия;;;;;;;;;;;;;;;;;
1110771;False;2;1;Россия;18.3.1985;185;Севастополь;;;;;;;;;;;;;;
